project_title,project_number,project_year,sponsoring_forum,proposing_economy,project_status,fund_account,sub_fund,project_session,apec_funding,co_funding_amount,total_project_value,project_cost_usd,topics,committee,other_fora_involved,co_sponsoring_economies,organization_1,organization_2,link
Data Standardisation within APEC - Pilot Project Utilising the Health Data,DESG 01 2022A,2022,Digital Economy Steering Group (DESG),Korea,Completed Project,APEC Support Fund,ASF: Digital Innovation,Session 1,"80,000","60,000","140,000",,Digital Economy,Committee on Trade and Investment (CTI),,Australia; Chile; New Zealand; Philippines; Singapore; Chinese Taipei; United States,"Ministry of Trade, Industry and Energy (MOTIE)",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14946
Voluntary Carbon Markets (VCMs): Workshop and Report,FMP 05 2023S,2023,Finance Ministers Process (FMP),United States,Completed Project,Self-Funded,,,,,,$0.00,Finance,Senior Finance Officials Meeting (SFOM),,,US Department of the Treasury,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15222
Workshop on the Responsible Development of Digital Assets,FMP 04 2023S,2023,Finance Ministers Process (FMP),United States,Completed Project,Self-Funded,,,,,,$0.00,Finance,Senior Finance Officials Meeting (SFOM),,,US Department of the Treasury,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15216
APEC Report on Modern Supply Side Economics,FMP 03 2023S,2023,Finance Ministers Process (FMP),United States,Completed Project,Self-Funded,,,,,,$0.00,Finance,Senior Finance Officials Meeting (SFOM),,Canada,US Department of the Treasury,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15221
"Designing a Just Energy Transition: Finance, Policymaking, and the Energy System",FMP 02 2023S,2023,Finance Ministers Process (FMP),United States,Completed Project,Self-Funded,,,,,,$0.00,Finance,Senior Finance Officials Meeting (SFOM),,,US Department of the Treasury,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15211
Workshop on Climate-Aligned Finance Approaches: Learning from Experiences,FMP 01 2023S,2023,Finance Ministers Process (FMP),United States,Completed Project,Self-Funded,,,,,,$0.00,Finance,Senior Finance Officials Meeting (SFOM),,,US Department of the Treasury,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15207
Low-Carbon Hydrogen Capacity Building Workshop,EWG_05_2024S,2024,Energy Working Group (EWG),Peru,Project in Implementation,Self-Funded,,,,,,$0.00,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Ministry of Energy and Mines of Peru,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15425
Advancing the FTAAP Agenda through Exploring Best Practices in Facilitation of Trade in Agricultural Products,CTI_05_2024S,2024,Committee on Trade and Investment (CTI),Russia,Project in Implementation,Self-Funded,,,,,,$0.00,Trade Facilitation,Committee on Trade and Investment (CTI),,China,Ministry of Economic Development,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15461
FTAAP Work Program on APEC Efforts to Address Inclusion in Trade Agreements,CTI 08 2022S,2022,Committee on Trade and Investment (CTI),United States,Completed Project,Self-Funded,,,,,,"$70,000.00",Trade Facilitation,Committee on Trade and Investment (CTI),,"Australia; Brunei Darussalam; Canada; Chile; Hong Kong, China; Japan; Peru; Philippines; Chinese Taipei; Thailand",Office of the US Trade Representative (USTR),Nathan Associates,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14970
FTAAP Work Program: Multistakeholder Engagement Approaches for Trade Agreement Development,CTI 06 2022S,2022,Committee on Trade and Investment (CTI),United States,Completed Project,Self-Funded,,,,,,"$160,000.00",Trade Facilitation,Committee on Trade and Investment (CTI),,Chile; Peru; Philippines; Chinese Taipei,Office of the US Trade Representative (USTR),Nathan Associates,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14967
APEC Sectoral Symposia on the Holistic Approach of Decarbonization for Energy Transition Phase 2,EWG_04_2024S,2024,Energy Working Group (EWG),Japan,Project in Implementation,Self-Funded,,,,,,$0.00,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Thailand,"Agency for Natural resources and Energy, Ministry of Economy, Trade and Industry, Japan",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15423
Research on Energy Storage to Enable Energy Transition in APEC Cities,EWG_03_2024S,2024,Energy Working Group (EWG),China,Project in Implementation,Self-Funded,,,,,,$0.00,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Tianjin University,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15421
Workshop on Addressing Food Security Challenges by Promoting Data-Driven Policymaking,PPFS-ATCWG_01_2024S,2024,Policy Partnership on Food Security (PPFS),Japan,Project in Implementation,Self-Funded,,,,,,$0.00,Food Security,SOM Steering Committee on Economic and Technical Cooperation (SCE),Agricultural Technical Cooperation Working Group (ATCWG),United States,"Ministry of Agriculture, Forestry and Fisheries, Japan",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15420
Workshop on Meaningful and Universal Connectivity in APEC Economies,TELWG_01_2024S,2024,Telecommunications and Information Working Group (TELWG),Peru,Project in Implementation,Self-Funded,,,,,,$0.00,Telecommunications,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chile; China; Indonesia; Mexico,Ministry of Transports and Communications,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15419
APEC Workshop on Smart Tourism Cities: How to Effectively Collaborate with Local Communities and Private Enterprises,TWG_04_2024S,2024,Tourism Working Group (TWG),Korea,Project in Implementation,Self-Funded,,,,,,"$40,000.00",Tourism,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Ministry of Foreign Trade and Tourism,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15417
Cybersecurity Approaches for Critical Infrastructure Sectors and Spotlight on Supply Chain Management,SCSC 03 2023S,2023,Sub-Committee on Standards and Conformance (SCSC),United States,Completed Project,Self-Funded,,,,,,"$100,000.00",Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,,"International Trade Administration, US Department of Commerce",Nathan Associates,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15118
Assessing Existing and Planned Hydrogen Infrastructure to Facilitate Widespread Hydrogen Use in the APEC Region,EWG 01 2021A,2021,Energy Working Group (EWG),United States,Completed Project,APEC Support Fund,ASF: General Fund,Session 1,"120,000",0,"120,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Japan; Korea; Singapore; Chinese Taipei,US Department of Energy,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14658
Best Practices of Quality Infrastructure (QI) in APEC Economies,SCSC_202_2023A,2023,Sub-Committee on Standards and Conformance (SCSC),Malaysia,Project in Implementation,APEC Support Fund,ASF: Connectivity,Session 2,"120,000","20,000","140,000",,Conformance; Standards and Conformance,Committee on Trade and Investment (CTI),,"Australia; Canada; China; Hong Kong, China; Indonesia; Japan; Papua New Guinea; Peru; Philippines; Singapore; Chinese Taipei; Thailand; United States; Viet Nam",Department of Standards Malaysia,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15345
Exchange of best practices for the development of green hydrogen roadmaps in the Asia-Pacific region,EWG_212_2023A,2023,Energy Working Group (EWG),Peru,Project in Implementation,APEC Support Fund,ASF: General Fund,Session 2,"139,891",0,"139,891",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Chile; China; Chinese Taipei; United States,Ministry of Energy and Mines,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15327
Digital Innovation and Educational Opportunities,PPSTI 01 2021,2021,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Chile,Completed Project,General Project Account,None,Session 1,"60,000","30,000","90,000",,Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Australia; Canada; China; Indonesia; Korea; Malaysia; Mexico; New Zealand; Papua New Guinea; Peru; Philippines; Russia; Chinese Taipei,National Agency for Research and Development,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14689
"APEC Smart Families: Comprehensive, Holistic Policy Options",HWG 06 2022S,2022,Health Working Group (HWG),Thailand,Completed Project,Self-Funded,,,,,,"$90,000.00",Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),Policy Partnership on Women and the Economy (PPWE),,Ministry of Public Health,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14995
"Promoting Sustainable Economic Advancement for Women by Addressing Policy Barriers to Prevention, Control, and Elimination of HPV and Cervical Cancer",HWG 05 2022S,2022,Health Working Group (HWG),Thailand,Completed Project,Self-Funded,,,,,,$0.00,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,United States,"National Cancer Institute, Ministry of Public Health","National Cancer Institute, National Institute of Health, US Department of Health and Human Services",https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14993
APEC Information Portal for Safe Passage across the Region,HWG 04 2022S,2022,Health Working Group (HWG),Thailand,Completed Project,Self-Funded,,,,,,"$30,000.00",Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Chinese Taipei,"Health Intervention and Technology Assessment Program (HITAP), Ministry of Public Health",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14966
Landscape Study and Benchmarking Workshop for APEC Open Science Alliance,PPSTI_02_2024S,2024,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Malaysia,Project in Implementation,Self-Funded,,,,,,"$38,500.00",Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,United States,Academy of Sciences Malaysia,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15457
Capacity Building for Chemical Emergency Preparedness,CD_01_2024S,2024,Chemical Dialogue (CD),Chinese Taipei,Project in Implementation,Self-Funded,,,,,,$0.00,Chemicals Trade and Management,Committee on Trade and Investment (CTI),,,"Chemicals Administration, Ministry of Environment",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15413
"Diagnosis identifying the issues in gastronomy and proposing alternatives to minimize the generation of food waste from restaurant services with a circularity approach, within the tourism sector",TWG_02_2024S,2024,Tourism Working Group (TWG),Peru,Project in Implementation,Self-Funded,,,,,,"$12,000.00",Tourism,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Ministry of Foreign Trade and Tourism,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15411
Identification and analysis of guidelines implemented for the development of MICE tourism in the APEC region,TWG_03_2024S,2024,Tourism Working Group (TWG),Peru,Project in Implementation,Self-Funded,,,,,,"$12,000.00",Tourism,SOM Steering Committee on Economic and Technical Cooperation (SCE),,,Ministry of Foreign Trade and Tourism,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15414
2022 APEC Research Center for Typhoon and Society (ACTS) Annual Meeting,PPSTI 06 2022S,2022,"APEC Policy Partnership on Science, Technology and Innovation (PPSTI)",Chinese Taipei,Completed Project,Self-Funded,,,,,,"$100,000.00",Science and Technology,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Korea; Thailand,APEC Research Center for Typhoon and Society (ACTS),APEC Research Center for Typhoon and Society (ACTS),https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14891
Cervical Cancer Elimination,HWG_202_2023A,2023,Health Working Group (HWG),Chinese Taipei,Project in Implementation,APEC Support Fund,"ASF: Innovative Development, Economic Reform and Growth (IERG)",Session 2,"82,684","70,000","152,684",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Malaysia; Mexico; Peru; Thailand,"Health Promotion Administration, Ministry of Health and Welfare",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15273
APEC Workshop on Strategies and Successful Case Studies on Solar Energy,EWG 10 2019A,2019,Energy Working Group (EWG),Viet Nam,Completed Project,APEC Support Fund,ASF: Energy Efficiency and Low Carbon Measures (EELCM),Session 2,"100,000","24,385","124,385",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"Australia; Canada; Chile; Hong Kong, China; Japan; Singapore; Chinese Taipei; Thailand; United States","Multilateral Trade Policy Department, Ministry of Industry and Trade",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14203
Stakeholder Engagement and Capacity Building on the APEC Collaborative Framework on Online Dispute Resolution (ODR) to Improve Cross-Border Trade in Indonesia,EC 02 2022A,2022,Economic Committee (EC),Indonesia,Completed Project,APEC Support Fund,ASF: Strengthening Economic Legal Infrastructure (SELI),Session 1,"100,000","27,120","127,120",,Legal Infrastructure; Structural Reform,Economic Committee (EC),,"Hong Kong, China; Japan; Chinese Taipei; Viet Nam",Coordinating Minister for Economic Affairs,Coordinating Minister for Economic Affairs,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14909
Integrative Medicine (IM) and COVID-19 Care,HWG 13 2021A,2021,Health Working Group (HWG),United States,Completed Project,APEC Support Fund,ASF: APEC Cooperation on Combating COVID-19 and Economic Recovery (CCER),Session 2,"32,000",0,"32,000",,Health,SOM Steering Committee on Economic and Technical Cooperation (SCE),,Indonesia; Chinese Taipei; Thailand,"National Cancer Institute, National Institutes of Health, USA",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14772
Clean Energy Startups Forum: Advancing Market Reach and Business Growth,EWG 16 2021A,2021,Energy Working Group (EWG),Indonesia,Completed Project,APEC Support Fund,"ASF: Energy Efficiency, Low Carbon and Energy Resiliency Measures (EELCER)",Session 2,"100,000","50,000","150,000",,Energy,SOM Steering Committee on Economic and Technical Cooperation (SCE),,"China; Hong Kong, China; Japan; Chinese Taipei",Ministry of Energy and Mineral Resources,Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=14806
Trends and Developments in IP Protection of Software-related Inventions in the APEC Region,IPEG_02_2024S,2024,Intellectual Property Rights Experts Group (IPEG),Chile,Project in Implementation,Self-Funded,,,,,,$0.00,Intellectual Property,Committee on Trade and Investment (CTI),,Japan; Mexico; Philippines,"Undersecretariat of International Economic Affairs, Ministry of Foreign Affiars",Not Applicable,https://pdb.apec.org/Lists/Projects/DispForm.aspx?ID=15402
